t,x,y
0.0,-0.0,0.0
0.1,-0.14570537953906415,0.05628215181562566
0.2,-0.2913952597646567,0.11255810390586268
0.30000000000000004,-0.43705415665925723,0.16882166266370288
0.4,-0.5826666167821521,0.22506664671286086
0.5,-0.7282172325201155,0.28128689300804616
0.6000000000000001,-0.8736906572928624,0.33747626291714494
0.7000000000000001,-1.0190716206982715,0.39362864827930855
0.8,-1.1643449435824273,0.449737977432971
0.9,-1.3094955530196148,0.5057982212078459
1.0,-1.4545084971874738,0.5618033988749895
1.1,-1.599368960122646,0.6177475840490583
1.2000000000000002,-1.7440622763423392,0.6736249105369356
1.3,-1.8885739453173904,0.7294295781269562
1.4000000000000001,-2.0328896457825367,0.7851558583130146
1.5,-2.1769952498697736,0.8407980999479093
1.6,-2.3208768370508577,0.8963507348203431
1.7000000000000002,-2.4645207078751863,0.9518082831500744
1.8,-2.6079133974894986,1.0071653589957994
1.9000000000000001,-2.7510416889260654,1.062416675570426
2.0,-2.8938926261462368,1.1175570504584946
2.1,-3.0364535268264885,1.1725814107305954
2.2,-3.1787119948743454,1.227484797949738
2.3000000000000003,-3.320655932661827,1.2822623730647305
2.4000000000000004,-3.462273552964345,1.336909421185738
2.5,-3.603553390593274,1.3914213562373094
2.6,-3.7444843137107062,1.4457937254842823
2.7,-3.88505553481523,1.500022213926092
2.8000000000000003,-4.0252566213878955,1.554102648555158
2.9000000000000004,-4.165077506187846,1.6080310024751383
3.0,-4.304508497187474,1.6618033988749894
3.1,-4.4435402871372816,1.7154161148549125
3.2,-4.582163962751007,1.7688655851004031
3.3000000000000003,-4.720371013501973,1.8221484054007888
3.4000000000000004,-4.858153340021933,1.8752613360087729
3.5,-4.995503262094184,1.9282013048376736
3.6,-5.132413526233011,1.980965410493204
3.7,-5.268877312841991,2.0335509251367965
3.8000000000000003,-5.404888242944126,2.0859552971776503
3.9000000000000004,-5.5404403844771135,2.1381761537908455
4.0,-5.675528258147577,2.190211303259031
4.1000000000000005,-5.810146842838472,2.242058737135389
4.2,-5.944291580564316,2.2937166322257263
4.3,-6.077958380969373,2.345183352387749
4.4,-6.211143625364345,2.396457450145738
4.5,-6.34384417029757,2.4475376681190277
4.6000000000000005,-6.47605735065724,2.4984229402628957
4.7,-6.6077809823015405,2.549112392920616
4.800000000000001,-6.739013364214137,2.5996053456856547
4.9,-6.8697532801828665,2.6499013120731467
5.0,-7.0,2.7
5.1000000000000005,-7.129753280182866,2.7499013120731464
5.2,-7.259013364214137,2.7996053456856544
5.300000000000001,-7.387780982301542,2.8491123929206164
5.4,-7.516057350657239,2.8984229402628956
5.5,-7.6438441702975695,2.9475376681190277
5.6000000000000005,-7.7711436253643456,2.996457450145738
5.7,-7.897958380969374,3.0451833523877494
5.800000000000001,-8.024291580564316,3.0937166322257266
5.9,-8.150146842838472,3.1420587371353887
6.0,-8.275528258147578,3.190211303259031
6.1000000000000005,-8.400440384477113,3.2381761537908456
6.2,-8.524888242944126,3.2859552971776504
6.300000000000001,-8.648877312841991,3.3335509251367967
6.4,-8.77241352623301,3.380965410493204
6.5,-8.895503262094184,3.428201304837674
6.6000000000000005,-9.018153340021934,3.475261336008773
6.7,-9.140371013501973,3.522148405400789
6.800000000000001,-9.262163962751009,3.5688655851004034
6.9,-9.383540287137281,3.6154161148549124
7.0,-9.504508497187473,3.6618033988749894
7.1000000000000005,-9.625077506187846,3.7080310024751384
7.2,-9.745256621387895,3.754102648555158
7.300000000000001,-9.865055534815232,3.800022213926092
7.4,-9.984484313710707,3.8457937254842824
7.5,-10.103553390593273,3.8914213562373097
7.6000000000000005,-10.222273552964346,3.936909421185738
7.7,-10.340655932661825,3.9822623730647306
7.800000000000001,-10.458711994874346,4.027484797949739
7.9,-10.576453526826489,4.072581410730596
8.0,-10.693892626146237,4.117557050458495
8.1,-10.811041688926064,4.162416675570426
8.200000000000001,-10.9279133974895,4.2071653589958
8.3,-11.044520707875186,4.2518082831500745
8.4,-11.160876837050859,4.296350734820344
8.5,-11.276995249869774,4.340798099947909
8.6,-11.392889645782535,4.385155858313015
8.700000000000001,-11.508573945317393,4.429429578126957
8.8,-11.62406227634234,4.473624910536936
8.9,-11.739368960122645,4.517747584049059
9.0,-11.854508497187474,4.561803398874989
9.1,-11.969495553019614,4.605798221207846
9.200000000000001,-12.08434494358243,4.649737977432971
9.3,-12.199071620698273,4.693628648279309
9.4,-12.313690657292863,4.737476262917145
9.5,-12.428217232520115,4.781286893008046
9.600000000000001,-12.542666616782155,4.825066646712862
9.700000000000001,-12.657054156659258,4.868821662663703
9.8,-12.771395259764658,4.912558103905863
9.9,-12.885705379539065,4.956282151815626
10.0,-13.0,5.0
