x,y
0,0
0.0964495004160727,0.138071189970391
0.192245399335745,0.240587342090559
0.310001144584184,0.377087430221494
0.402134126962735,0.511837933958923
0.502164368793734,0.627418858003153
0.603468066938924,0.76009059972984
0.701095168091815,0.864885327835866
0.782364300600767,0.993299851552396
0.902173321074726,1.1085060354054
0.97975406764499,1.21719083074316
1.10129707266778,1.31777576619216
1.19153787973196,1.42685802231768
1.27548518328379,1.51534489712228
1.38021722482423,1.61229783537075
1.48689852377493,1.71695786440738
1.57647423187358,1.79278073587568
1.67675175621357,1.89539116136366
1.78425480308344,1.97215181067333
1.8696124719557,2.05181210022281
1.97924526617544,2.13942106458079
2.07684496953702,2.22132858365262
2.19993551794525,2.30130782429125
2.30962089296781,2.37334692270288
2.41774838306208,2.45105060430858
2.54198273611876,2.55684109285506
2.6466681595076,2.61660666090819
2.77601606064388,2.69818951283699
2.89949922954215,2.7879119249566
3.01880158945194,2.86345760992963
3.17390762026162,2.96872196378842
3.29250205709087,3.0603373822903
3.43152470435098,3.15896797058416
3.55938899428129,3.2342520292619
3.70908162209262,3.35893176820136
3.8661834352451,3.47091189613961
4.00903893765066,3.57480203225093
4.13049232991416,3.68085924712922
4.27579693223775,3.79970910632329
4.40200700286507,3.92261718322708
4.54698931189083,4.02328394410807
4.67952157963826,4.18142882440433
4.83129896205665,4.28970323532937
4.94324305792176,4.45228541445978
5.08056297476567,4.57039490150646
5.2068778260785,4.70348599366616
5.32706126103094,4.82869355919825
5.44184533542687,4.97003594336294
5.54988558389289,5.09691381306948
5.64599102751785,5.24737521282659
5.75457784395607,5.38907626381666
5.86142139813147,5.50426603030198
5.96328259360326,5.65031661082915
6.02832619668113,5.76763032023475
6.13593162913399,5.88392000950004
6.23050044023523,6.01903325801964
6.31601145201174,6.15464391851054
6.3816528234196,6.27581772173809
6.4491892891254,6.37988445232342
6.51706990677599,6.50609096413952
6.62363238621164,6.62465906234229
6.68205805981455,6.72197593010261
6.77915429133884,6.84396390783614
6.83261419646431,6.94418844287364
6.9352845839414,7.02638904857852
6.997722463665,7.14094442770134
7.10849507056026,7.23912662936097
7.1808087189297,7.3382512860954
7.23986122105038,7.42602520141844
7.35313796488128,7.51102420268193
7.45074520348066,7.63003313781158
7.54078811110139,7.70113675521077
7.63665504264818,7.79404999157498
7.73607554240865,7.87097262782352
7.84689929571485,7.96393578176733
7.94593776429009,8.03290577610617
8.0607394946358,8.12907916526167
8.17498011616889,8.21756408413369
8.28089407493103,8.29161856905615
8.36186061676442,8.36554937023881
8.45484500553875,8.45471092331285
8.57969269443687,8.53766211144948
8.68801653596479,8.62069412334704
8.79823786055386,8.68029342970382
8.87508086335857,8.76263663218285
8.98385604500216,8.84809818843665
9.09034050243781,8.92176414411437
9.16671621352275,8.99768730469999
9.2671011446986,9.08780902371181
9.3274200407474,9.17577569488582
9.40778366107123,9.22445177222511
9.4777699540886,9.29630844917522
9.56893553604697,9.39361035615751
9.61585408701837,9.48668042842635
9.68502919495895,9.53478973701426
9.75975157408567,9.63723375753785
9.80746575636156,9.71649517673549
9.84734220291166,9.78040940256237
9.91443210344216,9.86357110738711
9.95905403802098,9.92824994196209
10,10
